Muestra	Pragmático.N	Reflexivo.N	Activo.N	Teórico.N	Pragmático	Reflexivo	Activo	Teórico	Marca_temporal	Pograma	Universidad	área_estudio	nivel_académico	etapa_estudio	institución_escolar	preuniversitario	multi_carrera	desempeño_anterior	trabaja	experiencia_laboral	edad	edad2	tecnológico	tecnológico2	origen_geo	territorio	movilidad	lengua	idiomas	etnia	religión	nivel_socioeconómico	nivel_socioeconómico2	clase_social	func_física	func_cognitiva	func_cognitiva2	género	sexo	orientación_sexual	motivación	objetivo	proyección	estilo_VARK	1. ¿Cuál es el resultado de tu preferencia de aprendizaje según el cuestionario?
M81	14	13	11	15	Moderada	Baja	Moderada	Moderada	2026/04/05 10:54:37 p. m. GMT-4	OBSTETRICIA 	UTP	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	V media	Visual, media
M82	13	20	11	15	Moderada	Muy alta	Moderada	Moderada	2026/04/05 10:56:21 p. m. GMT-4	Psicología 	UTP	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al inicio	Público	No	Sí	Tercio medio	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Mormonismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	AK	Multimodal (AK)
M83	15	17	12	16	Moderada	Moderada	Moderada	Moderada	2026/04/05 11:01:35 p. m. GMT-4	Psicología 	UTP	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio medio	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Ateísmo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Bisexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	AK	Multimodal (AK)
M84	14	15	11	14	Moderada	Baja	Moderada	Moderada	2026/04/05 11:07:34 p. m. GMT-4	Administración de negocios internacionales 	UTP	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Lograr mayor reconocimiento social o prestigio profesional.	Hacer vínculos y contactos útiles.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	A media	Auditivo, media
M85	15	16	9	13	Moderada	Moderada	Baja	Baja	2026/04/05 11:18:48 p. m. GMT-4	Ingeniería industrial 	UTP	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Español	Bilingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	A media	Auditivo, media
M86	12	16	8	13	Baja	Moderada	Baja	Baja	2026/04/05 11:31:56 p. m. GMT-4	Psicología 	UTP	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio superior	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Movilidad reducida	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	K media	Kinestésico, media
M87	9	17	9	15	Muy baja	Moderada	Baja	Moderada	2026/04/05 11:42:54 p. m. GMT-4	Administración y Marketing	UTP	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Superación personal y alcanzar metas propias.	Obtener buenas calificaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	K media	Kinestésico, media
M88	13	18	10	16	Moderada	Alta	Moderada	Moderada	2026/04/06 12:18:25 a. m. GMT-4	Ing. Civil 	UTP	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Superación personal y alcanzar metas propias.	Usar esta formación para acceder a posgrados o especializaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	V muy fuerte	Visual, muy fuerte
M89	9	11	7	14	Muy baja	Muy baja	Muy baja	Moderada	2026/04/06 12:49:16 a. m. GMT-4	Administración de Empresas Internacionales 	UTP	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio superior	Sí	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Nacional (otras regiones de Perú)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Quechua	Bilingüe	Indígena Quechua	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Obtener buenas calificaciones.	Quiero crear mi propio proyecto o empresa (emprendimiento).	V fuerte	Visual, fuerte
M90	11	15	10	17	Baja	Baja	Moderada	Alta	2026/04/06 1:33:19 a. m. GMT-4	administración de negocios internacionales	UTP	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio medio	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Blanco	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Trastorno por déficit de atención con hiperactividad (TDAH)	TDAH	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	R media	Lectura/Escritura, media
