Muestra	Pragmático.N	Reflexivo.N	Activo.N	Teórico.N	Pragmático	Reflexivo	Activo	Teórico	Marca_temporal	Pograma	Universidad	área_estudio	nivel_académico	etapa_estudio	institución_escolar	preuniversitario	multi_carrera	desempeño_anterior	trabaja	experiencia_laboral	edad	edad2	tecnológico	tecnológico2	origen_geo	territorio	movilidad	lengua	idiomas	etnia	religión	nivel_socioeconómico	nivel_socioeconómico2	clase_social	func_física	func_cognitiva	func_cognitiva2	género	sexo	orientación_sexual	motivación	objetivo	proyección	estilo_VARK	1. ¿Cuál es el resultado de tu preferencia de aprendizaje según el cuestionario?
M1	15	15	13	13	Moderada	Baja	Moderada	Baja	2026/01/29 5:15:28 p. m. GMT-4	Ingeniería Industrial	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al final	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Blanco	Teísta	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VARK	Multimodal (VARK)
M2	13	17	13	15	Moderada	Moderada	Moderada	Moderada	2026/01/29 9:23:07 p. m. GMT-4	UCSP	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al final	Privado	No	No	Tercio medio	Sí	Sí	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Blanco	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VAK	Multimodal (VAK)
M3	12	16	9	15	Baja	Moderada	Baja	Moderada	2026/03/19 12:45:28 p. m. GMT-4	Medicina Humana	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	K fuerte	Kinestésico, fuerte
M4	18	14	16	11	Alta	Baja	Alta	Muy baja	2026/03/19 12:47:44 p. m. GMT-4	Ingeniería ambiental 	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Indígena Aymara	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Dislexia	Dislexia	Hombre	Masculino	Homosexual (gay, lesbiana)	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Obtener buenas calificaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	V muy fuerte	Visual, muy fuerte
M5	20	20	20	19	Muy alta	Muy alta	Muy alta	Muy alta	2026/03/19 1:03:06 p. m. GMT-4	Odontología	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Nacional (otras regiones de Perú)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Español	Bilingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Subclase o clase popular	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Evitar el desempleo o quedarme rezagado frente a mis pares (evitar consecuencias negativas).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	R media	Lectura/Escritura, media
M6	15	18	6	11	Moderada	Alta	Muy baja	Muy baja	2026/03/19 1:13:06 p. m. GMT-4	Ing. Mecatrónica 	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Zona rural	Sin experiencia de movilidad	Español	Multilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Superación personal y alcanzar metas propias.	Adquirir conocimientos.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	VK	Multimodal (VK)
M7	16	12	15	16	Moderada	Muy baja	Alta	Moderada	2026/03/19 1:35:08 p. m. GMT-4	Pregrado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Bisexual	Superación personal y alcanzar metas propias.	Recibir distinciones o premios académicos.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	VARK	Multimodal (VARK)
M8	10	17	10	15	Muy baja	Moderada	Moderada	Moderada	2026/03/19 1:37:51 p. m. GMT-4	Pregrado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	A fuerte	Auditivo, fuerte
M9	13	20	4	18	Moderada	Muy alta	Muy baja	Alta	2026/03/19 1:38:51 p. m. GMT-4	Pregrado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Limitaciones visuales	Dislexia	Dislexia	Mujer	Femenino	Bisexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	K fuerte	Kinestésico, fuerte
M10	17	16	12	17	Alta	Moderada	Moderada	Alta	2026/03/19 1:40:28 p. m. GMT-4	Pre-grado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	VK	Multimodal (VK)
M11	15	17	12	13	Moderada	Moderada	Moderada	Baja	2026/03/20 10:58:59 a. m. GMT-4	Psicología 	UCSM	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase trabajadora	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Obtener buenas calificaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VARK	Multimodal (VARK)
M12	12	16	14	14	Baja	Moderada	Alta	Moderada	2026/03/21 4:41:30 p. m. GMT-4	Comunicación social 	UCSM	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al medio	Privado	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Hacer vínculos y contactos útiles.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	AK	Multimodal (AK)
M13	13	19	12	15	Moderada	Alta	Moderada	Moderada	2026/03/24 12:54:54 p. m. GMT-4	Ing de Sistemas	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Indígena Aymara	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	A media	Auditivo, media
M14	18	16	9	12	Alta	Moderada	Baja	Baja	2026/03/24 1:23:34 p. m. GMT-4	Ingeniería Biotecnológica 	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Bilingüe	Mestizo	Deísmo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Pansexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	K fuerte	Kinestésico, fuerte
M15	15	16	13	19	Moderada	Moderada	Moderada	Muy alta	2026/03/24 1:26:05 p. m. GMT-4	Enfermería 	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Blanco	Cristianismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Recibir distinciones o premios académicos.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	V fuerte	Visual, fuerte
M16	13	16	10	12	Moderada	Moderada	Moderada	Baja	2026/03/24 1:26:29 p. m. GMT-4	Farmacia y bioquímica 	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al medio	Privado	Sí	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Multilingüe	Mestizo	Cristianismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	V fuerte	Visual, fuerte
M17	12	13	15	13	Baja	Baja	Alta	Baja	2026/03/24 1:36:36 p. m. GMT-4	Enfermería 	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Privado	Sí	Sí	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Dislexia	Dislexia	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	K muy fuerte	Kinestésico, muy fuerte
M18	16	14	15	16	Moderada	Baja	Alta	Moderada	2026/03/24 1:37:58 p. m. GMT-4	Odontologia 	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al final	Privado	Sí	No	Tercio superior	Sí	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Trastorno por déficit de atención con hiperactividad (TDAH)	TDAH	Mujer	Femenino	Bisexual	Influencia o expectativas de mi familia o entorno social.	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VARK	Multimodal (VARK)
M19	12	13	16	13	Baja	Baja	Alta	Baja	2026/03/24 1:38:08 p. m. GMT-4	Ingeneria Comercial	UCSM	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Dislexia	Dislexia	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	V media	Visual, media
M20	14	12	16	13	Moderada	Muy baja	Alta	Baja	2026/03/24 1:51:15 p. m. GMT-4	Odontología 	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al final	Privado	Sí	No	Tercio medio	No	No	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Influencia o expectativas de mi familia o entorno social.	Evitar reprobar materias o abandonar los estudios.	Quiero estabilidad material y financiera (seguridad económica).	V muy fuerte	Visual, muy fuerte
M21	9	15	8	13	Muy baja	Baja	Baja	Baja	2026/03/24 1:55:01 p. m. GMT-4	Ingeniería de sistemas 	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al medio	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona urbana	Movilidad internacional (a otro país)	Aimara	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	A fuerte	Auditivo, fuerte
M22	19	15	11	16	Muy alta	Baja	Moderada	Moderada	2026/03/24 2:08:57 p. m. GMT-4	Farmacia y Bioquímica	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al final	Privado	Sí	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Nacional (otras regiones de Perú)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Agnosticismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	V fuerte	Visual, fuerte
M23	18	15	11	15	Alta	Baja	Moderada	Moderada	2026/03/24 2:09:28 p. m. GMT-4	Farmacia y Bioquímica	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al final	Privado	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Bilingüe	Mestizo	Agnosticismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero estabilidad material y financiera (seguridad económica).	A muy fuerte	Auditivo, muy fuerte
M24	15	15	11	14	Moderada	Baja	Moderada	Moderada	2026/03/24 2:40:11 p. m. GMT-4	Derecho 	UCSM	Ciencias económicas, administrativas y empresariales	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Nacional (otras regiones de Perú)	Capital de país	Movilidad nacional (a otra región o ciudad de Perú)	Español	Monolingüe	Otro o ninguno	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Recibir distinciones o premios académicos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	A fuerte	Auditivo, fuerte
M25	16	16	17	16	Moderada	Moderada	Alta	Moderada	2026/03/24 3:31:28 p. m. GMT-4	Derecho 	UCSM	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Nacional (otras regiones de Perú)	Zona urbana	Movilidad nacional (a otra región o ciudad de Perú)	Español	Monolingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Lograr mayor reconocimiento social o prestigio profesional.	Adquirir conocimientos.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	V media	Visual, media
M26	17	19	17	15	Alta	Alta	Alta	Moderada	2026/03/24 3:32:02 p. m. GMT-4	Publicidad y Multimedia 	UCSM	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al final	Privado	Sí	No	Tercio medio	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	R fuerte	Lectura/Escritura, fuerte
M27	12	18	8	13	Baja	Alta	Baja	Baja	2026/03/24 3:33:13 p. m. GMT-4	Derecho 	UCSM	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al final	Privado	Sí	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Movilidad local (a otra provincia de la región de Arequipa)	Español	Monolingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	V fuerte	Visual, fuerte
M28	14	14	10	11	Moderada	Baja	Moderada	Muy baja	2026/03/24 3:35:52 p. m. GMT-4	Farmacia y bioquímica y biotecnología 	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al medio	Privado	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Capital de país	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Trastorno por déficit de atención con hiperactividad (TDAH)	TDAH	Hombre	Masculino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Recibir distinciones o premios académicos.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	A media	Auditivo, media
M29	9	12	9	9	Muy baja	Muy baja	Baja	Muy baja	2026/03/24 3:36:01 p. m. GMT-4	administración de empresas	UCSM	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al medio	Privado	No	Sí	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Dislexia	Dislexia	Hombre	Femenino	Bisexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Evitar reprobar materias o abandonar los estudios.	Quiero crear mi propio proyecto o empresa (emprendimiento).	R muy fuerte	Lectura/Escritura, muy fuerte
M30	14	18	3	19	Moderada	Alta	Muy baja	Muy alta	2026/03/24 3:44:34 p. m. GMT-4	Ingeniería Industrial 	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al medio	Privado	Sí	Sí	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase trabajadora	Funcionalidad física típica (sin discapacidad)	Trastorno del espectro autista (TEA)	TEA	Mujer	Femenino	Heterosexual	Influencia o expectativas de mi familia o entorno social.	Usar esta formación para acceder a posgrados o especializaciones.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	VAK	Multimodal (VAK)
M31	15	19	10	16	Moderada	Alta	Moderada	Moderada	2026/03/24 3:50:20 p. m. GMT-4	Publicidad y Multimedia	UCSM	Ciencias sociales y humanidades	Pregrado (o grado universitario)	Al medio	Privado	No	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Blanco	Catolicismo	Nivel A: Ingreso familiar mayor a S/25,000 mensuales	Nivel A	Clase alta (burguesía)	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Evitar reprobar materias o abandonar los estudios.	Quiero estabilidad material y financiera (seguridad económica).	VARK	Multimodal (VARK)
